"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AXTA","Axalta Coating Systems Ltd.","25.7","6035313264.4","n/a","2014","Basic Industries","Paints/Coatings","https://www.nasdaq.com/symbol/axta",
"GOLD","Barrick Gold Corporation","13.44","23546635378.56","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/gold",
"BDC","Belden Inc","54.7","2155147836.4","n/a","n/a","Basic Industries","Telecommunications Equipment","https://www.nasdaq.com/symbol/bdc",
"BHP","BHP Group Limited","56","141596000000","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/bhp",
"BAK","Braskem S.A.","26.74","10638959301.6","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/bak",
"BBU","Brookfield Business Partners L.P.","39.7","2627576180.6","n/a","2016","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/bbu",
"BVN","Buenaventura Mining Company Inc.","16.68","4236500941.56","n/a","1996","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/bvn",
"CBT","Cabot Corporation","42.9","2553412633.2","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/cbt",
"CCJ","Cameco Corporation","11.85","4690143874.2","n/a","1996","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/ccj",
"CSL","Carlisle Companies Incorporated","125.29","7166454190.28","n/a","n/a","Basic Industries","Specialty Chemicals","https://www.nasdaq.com/symbol/csl",
"CRS","Carpenter Technology Corporation","47.32","2242031016.68","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/crs",
"CE","Celanese Corporation","101.23","12941570172.9","n/a","2005","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ce",
"CF","CF Industries Holdings, Inc.","41.82","9300646178.34","n/a","2005","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/cf",
"CHRA","Charah Solutions, Inc.","6.15","181760716.2","n/a","2018","Basic Industries","Environmental Services","https://www.nasdaq.com/symbol/chra",
"CC","Chemours Company (The)","37.57","6247232322.76","n/a","2015","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/cc",
"CGA","China Green Agriculture, Inc.","0.498","19694378.61","n/a","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/cga",
"CHD","Church & Dwight Company, Inc.","71.97","17699791172.85","n/a","n/a","Basic Industries","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/chd",
"CINR","Ciner Resources LP","25.16","496766613.16","n/a","2013","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/cinr",
"CLH","Clean Harbors, Inc.","72","4021570224","n/a","n/a","Basic Industries","Environmental Services","https://www.nasdaq.com/symbol/clh",
"CLW","Clearwater Paper Corporation","20.42","337239485.52","n/a","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/clw",
"CLF","Cleveland-Cliffs Inc.","10.38","3016102431.3","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/clf",
"CDE","Coeur Mining, Inc.","3.93","806464091.64","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/cde",
"CMC","Commercial Metals Company","17.55","2069514778.5","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/cmc",
"CMP","Compass Minerals International, Inc.","55.01","1863399718.36","n/a","2003","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/cmp",
"CSTM","Constellium N.V.","8.57","1165514806.58","n/a","2013","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/cstm",
"GLW","Corning Incorporated","33.92","26634619491.2","n/a","n/a","Basic Industries","Telecommunications Equipment","https://www.nasdaq.com/symbol/glw",
"CVA","Covanta Holding Corporation","17.49","2293871741.7","n/a","n/a","Basic Industries","Electric Utilities: Central","https://www.nasdaq.com/symbol/cva",
"CVIA","Covia Holdings Corporation","5.78","759605582.78","n/a","2018","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/cvia",
"CULP","Culp, Inc.","19.18","237226161.34","n/a","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/culp",
"UAN","CVR Partners, LP","3.94","446334913.62","n/a","2011","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/uan",
"UFS","Domtar Corporation","50.56","3181424446.08","n/a","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/ufs",
